,text,category,polarity
0,but the staff was so horrible to us .,1,-1
1,"to be completely fair , the only redeeming factor was the food , which was above average , but couldn't make up for all the other deficiencies of teodora .",0,1
2,"to be completely fair , the only redeeming factor was the food , which was above average , but couldn't make up for all the other deficiencies of teodora .",4,-1
3,"the food is uniformly exceptional , with a very capable kitchen which will proudly whip up whatever you feel like eating , whether it's on the menu or not .",0,1
4,where gabriela personaly greets you and recommends you what to eat .,1,1
5,"for those that go once and don't enjoy it , all i can say is that they just don't get it .",4,1
6,"not only was the food outstanding , but the little 'perks' were great .",0,1
7,"not only was the food outstanding , but the little 'perks' were great .",1,1
8,it is very overpriced and not very tasty .,0,-1
9,it is very overpriced and not very tasty .,5,-1
10,our agreed favorite is the orrechiete with sausage and chicken ( usually the waiters are kind enough to split the dish in half so you get to sample both meats ) .,0,1
11,our agreed favorite is the orrechiete with sausage and chicken ( usually the waiters are kind enough to split the dish in half so you get to sample both meats ) .,1,1
12,"the bagels have an outstanding taste with a terrific texture , both chewy yet not gummy .",0,1
13,nevertheless the food itself is pretty good .,0,1
14,"they did not have mayonnaise , forgot our toast , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .",0,-1
16,the design and atmosphere is just as good .,3,1
17,he has visited thailand and is quite expert on the cuisine .,0,1
18,i would definitely recommend mary's and am making it one of my regular neighborhood haunts .,4,1
19,the pizza is the best if you like thin crusted pizza .,0,1
20,my girlfriend and i stumbled onto this hopping place the other night and had a great time!,4,1
21,"he can't help , they're bought up so fast .",4,0
22,"secondly , on this night the place was overwhelmed by upper east side ladies perfume .",3,-1
23,"i have eaten here a handful of times , for no reason besides sheer convenience .",4,0
24,obviously run by folks who know a pie .,1,1
25,we were very disappointed .,4,-1
26,it is definitely special and affordable .,4,1
27,it is definitely special and affordable .,5,1
28,i really liked this place .,4,1
29,i will be going back very soon .,4,1
30,"all the money went into the interior decoration , none of it went to the chefs .",3,1
31,"all the money went into the interior decoration , none of it went to the chefs .",0,-1
32,the seats are uncomfortable if you are sitting against the wall on wooden benches .,3,-1
33,"i asked for seltzer with lime , no ice .",0,0
34,it was pretty inexpensive too .,5,1
35,will not be back .,4,-1
36,"don't go alone---even two people isn't enough for the whole experience , with pickles and a selection of meats and seafoods .",0,1
37,my suggestion is to eat family style because you'll want to try the other dishes .,0,0
38,"best of all is the warm vibe , the owner is super friendly and service is fast .",1,1
39,"best of all is the warm vibe , the owner is super friendly and service is fast .",3,1
40,this isn't a value joint .,5,-1
41,faan's got a great concept but a little rough on the delivery .,4,1
42,faan's got a great concept but a little rough on the delivery .,1,-1
43,"from the incredible food , to the warm atmosphere , to the friendly service , this downtown neighborhood spot doesn't miss a beat .",0,1
44,"from the incredible food , to the warm atmosphere , to the friendly service , this downtown neighborhood spot doesn't miss a beat .",1,1
45,"from the incredible food , to the warm atmosphere , to the friendly service , this downtown neighborhood spot doesn't miss a beat .",3,1
46,"great food at reasonable prices , makes for an evening that can't be beat!",0,1
47,"great food at reasonable prices , makes for an evening that can't be beat!",5,1
48,look foward to trying the ruben upon returning .,4,1
49,the only other steakhouse that seems to hold a candle to roth's is the strip house .,4,0
50,we usually go to the chart house to celebrate a birthday or anniversary .,4,0
51,this little place has a cute interior decor and affordable city prices .,3,1
52,this little place has a cute interior decor and affordable city prices .,5,1
53,you'll adore it .,4,1
54,two words : free wine .,5,1
55,the price is reasonable although the service is poor .,1,-1
56,the price is reasonable although the service is poor .,5,1
57,"the quantity is also very good , you will come out satisfied .",0,1
58,i have been to roth's twice and both times were very disappointing .,4,-1
59,worth visiting the 1st ave spot because it is the original store .,4,1
60,"i stumbled upon this second floor walk-up two fridays ago when i was with two friends in town from l .a . being serious sushi lovers , we sat at the sushi bar to be closer to the action .",4,0
61,"raga's is a romantic , cozy restaurant .",3,1
62,the fried rice is amazing here .,0,1
63,"three courses - choices include excellent mussels , puff pastry goat cheese and salad with a delicious dressing , and a hanger steak au poivre that is out of this world .",0,1
64,it's a perfect place to have a amanzing indian food .,0,1
65,the place is so cool and the service is prompt and curtious .,1,1
66,the place is so cool and the service is prompt and curtious .,3,1
67,at the end you're left with a mild broth with noodles that you can slurp out of a cup .,0,1
68,i just wonder how you can have such a delicious meal for such little money .,5,1
69,i just wonder how you can have such a delicious meal for such little money .,0,1
71,the wine list is excellent .,0,1
72,so garantuan that you can't fit them in a toaster .,0,1
73,"ive been to many thai restaurants in manhattan before , and toons is by far the best thai food ive had ( except for my mom's of course ) .",0,1
74,they wouldnt even let me finish my glass of wine before offering another .,1,1
75,i highly recommend the sophia pizza .,4,1
76,"whem asked , we had to ask more detailed questions so that we knew what the specials were .",1,-1
77,this is a consistently great place to dine for lunch or dinner .,4,1
78,"nice atmosphere , the service was very pleasant and the desert was good .",0,1
79,"nice atmosphere , the service was very pleasant and the desert was good .",1,1
80,"nice atmosphere , the service was very pleasant and the desert was good .",3,1
81,all the people that i bring there go back on their own and bring their friends!,4,1
82,after really enjoying ourselves at the bar we sat down at a table and had dinner .,4,1
83,"fabulous service , fantastic food , and a chilled out atmosphere and environment .",0,1
84,"fabulous service , fantastic food , and a chilled out atmosphere and environment .",1,1
85,"fabulous service , fantastic food , and a chilled out atmosphere and environment .",3,1
86,not what i wanted to hear .,4,-1
87,try the lasagnette appetizer .,0,1
88,"pricey , but worth a try , at least once .",5,-1
89,"pricey , but worth a try , at least once .",4,1
90,"i've been there a few times , and i usually end up sitting next to some pretty odd people .",4,-1
91,i liked the beer selection!,0,1
92,"great food , good size menu , great service and an unpretensious setting .",0,1
93,"great food , good size menu , great service and an unpretensious setting .",1,1
94,"great food , good size menu , great service and an unpretensious setting .",3,1
96,can't wait to go back .,4,1
97,i grew up eating dosa and have yet to find a place in ny to satisfy my taste buds .,4,0
98,wine list selection is good and wine-by-the-glass was generously filled to the top .,0,1
99,"with the great variety on the menu , i eat here often and never get bored .",0,1
100,the menu is very limited - i think we counted 4 or 5 entrees .,0,-1
101,"if you are a carnivore , come hungry and you will leave more satisfied than you have ever been .",4,1
103,not too crazy about their sake martini .,0,-1
104,"great bagels , spreads and a good place to hang out in .",0,1
105,"great bagels , spreads and a good place to hang out in .",4,1
107,"whoever the jazz duo was , they were on point .",3,1
108,one thing i liked about this place is that i never felt rushed or pressured to give up my table ot incoming guests .,1,1
109,this place is a great bargain .,5,1
110,we happened upon this place purely by accident and were pleased with the results .,4,1
111,"unfortunately , the food is outstanding , but everything else about this restaurant is the pits .",0,1
112,"unfortunately , the food is outstanding , but everything else about this restaurant is the pits .",4,-1
113,deff recimmend bukhara they also have opened two new locations guess ill try them out .,4,1
114,we always have a delicious meal and always leave feeling satisfied .,0,1
115,"dip the ingredients in with your chopsticks , swirl them around , and eat .",0,0
